basin,year,total_glacier_runoff_m3,mean_runoff_mm,glacier_count,total_glacier_area_km2,basin_runoff_mm,runoff_anomaly_mm,z_score,melt_category
Himalayas,2022,56508286075.69592,961.975011374736,22818,58741.94797943999,0.9619750113747358,0.6112870532298843,2.5127456563347947,Extreme Melt
Himalayas,2006,53255607285.36828,906.6026769151074,22818,58741.94797943999,0.9066026769151074,0.5559147187702559,2.2851331260850754,Extreme Melt
Himalayas,2024,47815014491.429855,813.9841482302456,22818,58741.94797943999,0.8139841482302456,0.463296190085394,1.9044170542832315,High Melt
Himalayas,2004,31832840678.997635,541.9098578436539,22818,58741.94797943999,0.5419098578436539,0.19122189969880232,0.7860333297187575,Normal
Himalayas,2023,28131968878.96208,478.9076604815426,22818,58741.94797943999,0.4789076604815426,0.12821970233669105,0.5270576211302459,Normal
Himalayas,2003,27650547904.15996,470.7121376675796,22818,58741.94797943999,0.4707121376675796,0.12002417952272804,0.4933692512500582,Normal
Himalayas,2018,24529263685.422127,417.5766131216402,22818,58741.94797943999,0.4175766131216402,0.06688865497678864,0.2749513119293816,Normal
Himalayas,2008,24487892186.047165,416.8723208603512,22818,58741.94797943999,0.4168723208603512,0.06618436271549966,0.27205626072390715,Normal
Himalayas,2012,23728497131.29643,403.944675780952,22818,58741.94797943999,0.4039446757809519,0.05325671763610035,0.21891611347514411,Normal
Himalayas,2017,20122627797.118565,342.5597633255472,22818,58741.94797943999,0.3425597633255471,-0.008128194819304435,-0.03341161262639959,Normal
Himalayas,2001,20062787839.262928,341.54107123388246,22818,58741.94797943999,0.3415410712338824,-0.009146886910969154,-0.03759903016607797,Normal
Himalayas,2007,19017350339.6651,323.7439511934688,22818,58741.94797943999,0.3237439511934687,-0.026944006951382826,-0.11075555432364237,Normal
Himalayas,2019,16428636143.35496,279.6746908887849,22818,58741.94797943999,0.2796746908887849,-0.07101326725606666,-0.29190586958614817,Normal
Himalayas,2021,16096446724.234024,274.01962784529843,22818,58741.94797943999,0.2740196278452984,-0.07666833029955317,-0.31515147085275363,Normal
Himalayas,2014,15056639743.557953,256.31835956185625,22818,58741.94797943999,0.2563183595618562,-0.09436959858299532,-0.38791398848799824,Normal
Himalayas,2002,14195511434.978876,241.65884726783972,22818,58741.94797943999,0.2416588472678397,-0.10902911087701184,-0.44817311821460787,Normal
Himalayas,2015,12517251539.130749,213.0888056948989,22818,58741.94797943999,0.2130888056948989,-0.13759915244995263,-0.5656126214470016,Normal
Himalayas,2020,11036863957.721603,187.8872651888318,22818,58741.94797943999,0.1878872651888318,-0.16280069295601973,-0.6692056242841664,Normal
Himalayas,2009,10964703215.373856,186.65882886981487,22818,58741.94797943999,0.1866588288698148,-0.16402912927503674,-0.6742552127031985,Normal
Himalayas,2016,10778864025.279123,183.49517501618757,22818,58741.94797943999,0.1834951750161875,-0.16719278312866404,-0.6872596717979004,Normal
Himalayas,2013,8597720958.12164,146.3642465709665,22818,58741.94797943999,0.1463642465709664,-0.20432371157388515,-0.8398894038909179,Normal
Himalayas,2010,8376372286.434623,142.59609315929396,22818,58741.94797943999,0.1425960931592939,-0.20809186498555765,-0.8553787080853297,Normal
Himalayas,2005,6588746162.601942,112.1642435982552,22818,58741.94797943999,0.1121642435982552,-0.23852371454659632,-0.9804713260210428,Normal
Himalayas,2000,5372484003.168742,91.45907120834912,22818,58741.94797943999,0.0914590712083491,-0.2592288869365024,-1.065581638290055,Low Melt
Himalayas,2011,1849420371.6383903,31.483810722206524,22818,58741.94797943999,0.0314838107222065,-0.319204147422645,-1.3121148741533515,Low Melt
